	Unnamed: 0	release_site	closest_island	Settled	count
0	0	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	366
1	1	Guam	Gardner_Pinnacles	Not close enough	1599
2	2	Guam	Necker_Island	Not close enough	1
3	3	Guam	Nihoa_Island	Not close enough	246
4	4	Guam	Pearl_and_Hermes_Atoll	Not close enough	186699
5	5	Guam	Raita_Bank	Not close enough	2007089
0	0	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	1327
1	1	Saipan	Gardner_Pinnacles	Not close enough	194114
2	2	Saipan	Necker_Island	Not close enough	359
3	3	Saipan	Nihoa_Island	Not close enough	7878
4	4	Saipan	Raita_Bank	Not close enough	1992322
0	0	Majuro	Johnston_Atoll	Not close enough	366000
0	0	Rongelap	Johnston_Atoll	Not close enough	363193
1	1	Rongelap	Johnston_Atoll	Settled	2807
0	0	Kiritimati	Johnston_Atoll	Not close enough	359164
0	0	Pohnpei	Gardner_Pinnacles	Not close enough	438
1	1	Pohnpei	Johnston_Atoll	Not close enough	16295
2	2	Pohnpei	Laysan_Island	Not close enough	89929
3	3	Pohnpei	Laysan_Island	Settled	50944
4	4	Pohnpei	Laysan_South_Pinnacle	Not close enough	1154040
5	5	Pohnpei	Laysan_South_Pinnacle	Settled	57550
6	6	Pohnpei	Laysan_West_pinnacle	Not close enough	166247
7	7	Pohnpei	Laysan_West_pinnacle	Settled	17751
8	8	Pohnpei	Lisianski_Island	Not close enough	71503
9	9	Pohnpei	Maro_Reef	Not close enough	461009
10	10	Pohnpei	Maro_Reef	Settled	65407
11	11	Pohnpei	Pioneer_Bank	Not close enough	11159
12	12	Pohnpei	Pioneer_Bank	Settled	1274
13	13	Pohnpei	Raita_Bank	Not close enough	19812
14	14	Pohnpei	Raita_Bank	Settled	12642
0	0	Okinawa	Gardner_Pinnacles	Not close enough	3093
1	1	Okinawa	Kauai	Not close enough	47032
2	2	Okinawa	Nihoa_Island	Not close enough	256794
3	3	Okinawa	Oahu	Not close enough	1649
4	4	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	240191
5	5	Okinawa	Raita_Bank	Not close enough	4575241
0	0	FrenchFrigateShoal	Hawaii	Not close enough	311579
1	1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	54421
0	0	Johnston	Johnston_Atoll	Not close enough	366000
0	0	Wake	Hawaii	Not close enough	1309072
1	1	Wake	Johnston_Atoll	Not close enough	154829
2	2	Wake	Kaula	Not close enough	99
