	Unnamed: 0	release_site	closest_island	Settled	count
0	0	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	1617
1	1	Guam	Gardner_Pinnacles	Not close enough	8316
2	2	Guam	Kauai	Not close enough	2
3	3	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	1217
4	4	Guam	Necker_Island	Not close enough	612
5	5	Guam	Nihoa_Island	Not close enough	77150
6	6	Guam	Pearl_and_Hermes_Atoll	Not close enough	186668
7	7	Guam	Raita_Bank	Not close enough	1920418
0	0	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	8782
1	1	Saipan	Gardner_Pinnacles	Not close enough	181477
2	2	Saipan	Kauai	Not close enough	6
3	3	Saipan	NW_Main_Hawaiin_Bank_2	Not close enough	6245
4	4	Saipan	Necker_Island	Not close enough	2437
5	5	Saipan	Nihoa_Island	Not close enough	323403
6	6	Saipan	Raita_Bank	Not close enough	1673650
0	0	Majuro	Johnston_Atoll	Not close enough	353045
1	1	Majuro	Johnston_Atoll	Settled	12955
0	0	Rongelap	Bank_west_of_St._Rogatien_Bank	Not close enough	1040
1	1	Rongelap	Bank_west_of_St._Rogatien_Bank	Settled	413
2	2	Rongelap	French_Frigate_Shoals	Not close enough	13944
3	3	Rongelap	French_Frigate_Shoals	Settled	4667
4	4	Rongelap	Gardner_Pinnacles	Not close enough	6569
5	5	Rongelap	Gardner_Pinnacles	Settled	1824
6	6	Rongelap	Johnston_Atoll	Not close enough	306908
7	7	Rongelap	Johnston_Atoll	Settled	4858
8	8	Rongelap	Kaula	Not close enough	109
9	9	Rongelap	Maro_Reef	Not close enough	5
10	10	Rongelap	NW_Main_Hawaiin_Bank_1	Not close enough	782
11	11	Rongelap	Necker_Island	Not close enough	3260
12	12	Rongelap	Necker_Island	Settled	7
13	13	Rongelap	Raita_Bank	Not close enough	180
14	14	Rongelap	Raita_Bank	Settled	253
15	15	Rongelap	St._Rogatien_Bank	Not close enough	5797
16	16	Rongelap	St._Rogatien_Bank	Settled	2355
17	17	Rongelap	St._Rogatien_SE_Bank_1	Not close enough	260
18	18	Rongelap	St._Rogatien_SE_Bank_1	Settled	2148
19	19	Rongelap	St._Rogatien_SE_Bank_2	Not close enough	675
20	20	Rongelap	St._Rogatien_SE_Bank_2	Settled	2616
21	21	Rongelap	St._Rogatien_SE_Bank_3	Not close enough	4796
22	22	Rongelap	St._Rogatien_SE_Bank_3	Settled	2534
0	0	Kiritimati	Johnston_Atoll	Not close enough	359164
0	0	Pohnpei	Gardner_Pinnacles	Not close enough	5449
1	1	Pohnpei	Gardner_Pinnacles	Settled	49
2	2	Pohnpei	Johnston_Atoll	Not close enough	6806
3	3	Pohnpei	Laysan_Island	Not close enough	312726
4	4	Pohnpei	Laysan_Island	Settled	168819
5	5	Pohnpei	Laysan_South_Pinnacle	Not close enough	456081
6	6	Pohnpei	Laysan_South_Pinnacle	Settled	139962
7	7	Pohnpei	Laysan_West_pinnacle	Not close enough	133015
8	8	Pohnpei	Laysan_West_pinnacle	Settled	89306
9	9	Pohnpei	Lisianski_Island	Not close enough	43245
10	10	Pohnpei	Lisianski_Island	Settled	1401
11	11	Pohnpei	Maro_Reef	Not close enough	421331
12	12	Pohnpei	Maro_Reef	Settled	262876
13	13	Pohnpei	Pioneer_Bank	Not close enough	22578
14	14	Pohnpei	Pioneer_Bank	Settled	13631
15	15	Pohnpei	Raita_Bank	Not close enough	87093
16	16	Pohnpei	Raita_Bank	Settled	31632
0	0	Okinawa	Gardner_Pinnacles	Not close enough	140
1	1	Okinawa	Hawaii	Not close enough	2975
2	2	Okinawa	Kauai	Not close enough	124103
3	3	Okinawa	Maui	Not close enough	19692
4	4	Okinawa	Molokai	Not close enough	634
5	5	Okinawa	Nihoa_Island	Not close enough	155987
6	6	Okinawa	Oahu	Not close enough	29979
7	7	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	196479
8	8	Okinawa	Raita_Bank	Not close enough	2032011
0	0	Okinawa	Gardner_Pinnacles	Not close enough	18060
1	1	Okinawa	Hawaii	Not close enough	258
2	2	Okinawa	Kauai	Not close enough	194721
3	3	Okinawa	Maui	Not close enough	25639
4	4	Okinawa	Molokai	Not close enough	1368
5	5	Okinawa	NW_Main_Hawaiin_Bank_2	Not close enough	107
6	6	Okinawa	Nihoa_Island	Not close enough	261667
7	7	Okinawa	Oahu	Not close enough	75831
8	8	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	52919
9	9	Okinawa	Raita_Bank	Not close enough	1931430
0	0	FrenchFrigateShoal	Hawaii	Not close enough	304002
1	1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	61998
0	0	Johnston	Hawaii	Not close enough	497
1	1	Johnston	Johnston_Atoll	Not close enough	365503
0	0	Wake	??	Not close enough	463
1	1	Wake	??	Settled	53
2	2	Wake	Hawaii	Not close enough	1230458
3	3	Wake	Johnston_Atoll	Not close enough	196292
4	4	Wake	Kahoolawe	Not close enough	1420
5	5	Wake	Kahoolawe	Settled	54
6	6	Wake	Kauai	Not close enough	97
7	7	Wake	Kaula	Not close enough	17483
8	8	Wake	Lanai	Not close enough	6875
9	9	Wake	Lanai	Settled	2900
10	10	Wake	Maui	Not close enough	1
11	11	Wake	Maui	Settled	410
12	12	Wake	Molokai	Not close enough	46
13	13	Wake	Molokai	Settled	728
14	14	Wake	Niihau	Not close enough	12
15	15	Wake	Oahu	Not close enough	6497
16	16	Wake	Oahu	Settled	211
