	release_site	closest_island	Settled	count
80	Rongelap	??	Not close enough	1
81	Rongelap	??	Settled	1
82	Rongelap	Bank_west_of_St._Rogatien_Bank	Not close enough	1196
83	Rongelap	Bank_west_of_St._Rogatien_Bank	Settled	996
84	Rongelap	French_Frigate_Shoals	Not close enough	7591
85	Rongelap	French_Frigate_Shoals	Settled	3836
86	Rongelap	Gardner_Pinnacles	Not close enough	3259
87	Rongelap	Gardner_Pinnacles	Settled	812
88	Rongelap	Hawaii	Not close enough	21
89	Rongelap	Johnston_Atoll	Not close enough	47877
90	Rongelap	Johnston_Atoll	Settled	1007
91	Rongelap	Kahoolawe	Not close enough	34
92	Rongelap	Kaula	Not close enough	3631
93	Rongelap	Lanai	Not close enough	5
94	Rongelap	Lanai	Settled	3
95	Rongelap	Maro_Reef	Not close enough	32
96	Rongelap	Maro_Reef	Settled	5
97	Rongelap	Molokai	Not close enough	2
98	Rongelap	Molokai	Settled	14
99	Rongelap	NW_Main_Hawaiin_Bank_1	Not close enough	2670
100	Rongelap	NW_Main_Hawaiin_Bank_1	Settled	29
101	Rongelap	NW_Main_Hawaiin_Bank_2	Not close enough	75
102	Rongelap	NW_Main_Hawaiin_Bank_2	Settled	12
103	Rongelap	Necker_Island	Not close enough	7190
104	Rongelap	Necker_Island	Settled	452
105	Rongelap	Nihoa_Island	Not close enough	47
106	Rongelap	Nihoa_Island	Settled	5
107	Rongelap	Raita_Bank	Not close enough	346
108	Rongelap	Raita_Bank	Settled	170
109	Rongelap	St._Rogatien_Bank	Not close enough	401
110	Rongelap	St._Rogatien_Bank	Settled	2005
111	Rongelap	St._Rogatien_SE_Bank_1	Not close enough	95
112	Rongelap	St._Rogatien_SE_Bank_1	Settled	2504
113	Rongelap	St._Rogatien_SE_Bank_2	Not close enough	187
114	Rongelap	St._Rogatien_SE_Bank_2	Settled	1714
115	Rongelap	St._Rogatien_SE_Bank_3	Not close enough	1835
116	Rongelap	St._Rogatien_SE_Bank_3	Settled	1440
117	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	1686
118	Saipan	Gardner_Pinnacles	Not close enough	25379
119	Saipan	Kauai	Not close enough	3895
120	Saipan	Kauai	Settled	143
121	Saipan	Kaula	Not close enough	7
122	Saipan	Kaula	Settled	26
123	Saipan	Maui	Not close enough	35
124	Saipan	Molokai	Not close enough	31
125	Saipan	Molokai	Settled	1
126	Saipan	NW_Main_Hawaiin_Bank_2	Not close enough	26713
127	Saipan	NW_Main_Hawaiin_Bank_2	Settled	116
128	Saipan	Necker_Island	Not close enough	3017
129	Saipan	Nihoa_Island	Not close enough	145342
130	Saipan	Niihau	Not close enough	108
131	Saipan	Niihau	Settled	183
132	Saipan	Oahu	Not close enough	756
133	Saipan	Oahu	Settled	19
134	Saipan	Raita_Bank	Not close enough	341543
135	Wake	??	Not close enough	90
136	Wake	??	Settled	11
137	Wake	Hawaii	Not close enough	297659
138	Wake	Hawaii	Settled	560
139	Wake	Johnston_Atoll	Not close enough	42992
140	Wake	Kahoolawe	Not close enough	745
141	Wake	Kahoolawe	Settled	80
142	Wake	Kauai	Not close enough	854
143	Wake	Kauai	Settled	85
144	Wake	Kaula	Not close enough	11475
145	Wake	Kaula	Settled	4
146	Wake	Lanai	Not close enough	1445
147	Wake	Lanai	Settled	744
148	Wake	Maui	Not close enough	1
149	Wake	Maui	Settled	863
150	Wake	Molokai	Not close enough	6
151	Wake	Molokai	Settled	403
152	Wake	NW_Main_Hawaiin_Bank_1	Not close enough	152
153	Wake	NW_Main_Hawaiin_Bank_1	Settled	4
154	Wake	NW_Main_Hawaiin_Bank_2	Not close enough	10
155	Wake	Necker_Island	Not close enough	47
156	Wake	Nihoa_Island	Not close enough	10
157	Wake	Nihoa_Island	Settled	4
158	Wake	Niihau	Not close enough	14
159	Wake	Niihau	Settled	19
160	Wake	Oahu	Not close enough	5544
161	Wake	Oahu	Settled	2179
