	release_site	closest_island	Settled	count
0	FrenchFrigateShoal	Hawaii	Not close enough	74633
1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	16867
2	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	2118
3	Guam	Gardner_Pinnacles	Not close enough	4097
4	Guam	Kauai	Not close enough	402
5	Guam	Kauai	Settled	20
6	Guam	Kaula	Not close enough	2
7	Guam	Kaula	Settled	3
8	Guam	Maui	Not close enough	13
9	Guam	Molokai	Not close enough	5
10	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	2200
11	Guam	NW_Main_Hawaiin_Bank_2	Settled	11
12	Guam	Necker_Island	Not close enough	536
13	Guam	Nihoa_Island	Not close enough	69358
14	Guam	Niihau	Not close enough	1
15	Guam	Niihau	Settled	9
16	Guam	Oahu	Not close enough	150
17	Guam	Oahu	Settled	3
18	Guam	Pearl_and_Hermes_Atoll	Not close enough	45918
19	Guam	Raita_Bank	Not close enough	424154
20	Johnston	Hawaii	Not close enough	1713
21	Johnston	Johnston_Atoll	Not close enough	89787
22	Kiritimati	Johnston_Atoll	Not close enough	89799
23	Majuro	Bank_west_of_St._Rogatien_Bank	Not close enough	249
24	Majuro	Bank_west_of_St._Rogatien_Bank	Settled	130
25	Majuro	French_Frigate_Shoals	Not close enough	63
26	Majuro	French_Frigate_Shoals	Settled	12
27	Majuro	Gardner_Pinnacles	Not close enough	2472
28	Majuro	Gardner_Pinnacles	Settled	104
29	Majuro	Johnston_Atoll	Not close enough	74278
30	Majuro	Johnston_Atoll	Settled	8135
31	Majuro	Laysan_South_Pinnacle	Not close enough	380
32	Majuro	Laysan_West_pinnacle	Not close enough	195
33	Majuro	Laysan_West_pinnacle	Settled	7
34	Majuro	Maro_Reef	Not close enough	1504
35	Majuro	Necker_Island	Not close enough	2
36	Majuro	Necker_Island	Settled	5
37	Majuro	Raita_Bank	Not close enough	2617
38	Majuro	Raita_Bank	Settled	319
39	Majuro	St._Rogatien_Bank	Not close enough	767
40	Majuro	St._Rogatien_Bank	Settled	94
41	Majuro	St._Rogatien_SE_Bank_1	Not close enough	7
42	Majuro	St._Rogatien_SE_Bank_1	Settled	43
43	Majuro	St._Rogatien_SE_Bank_2	Not close enough	11
44	Majuro	St._Rogatien_SE_Bank_2	Settled	15
45	Majuro	St._Rogatien_SE_Bank_3	Not close enough	86
46	Majuro	St._Rogatien_SE_Bank_3	Settled	5
47	Okinawa	Gardner_Pinnacles	Not close enough	2569
48	Okinawa	Hawaii	Not close enough	13188
49	Okinawa	Kauai	Not close enough	111270
50	Okinawa	Maui	Not close enough	42143
51	Okinawa	Molokai	Not close enough	2078
52	Okinawa	NW_Main_Hawaiin_Bank_2	Not close enough	156
53	Okinawa	Nihoa_Island	Not close enough	129730
54	Okinawa	Oahu	Not close enough	53190
55	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	48799
56	Okinawa	Raita_Bank	Not close enough	877877
57	Pohnpei	Bank_west_of_St._Rogatien_Bank	Not close enough	1
58	Pohnpei	French_Frigate_Shoals	Not close enough	3
59	Pohnpei	Gardner_Pinnacles	Not close enough	3022
60	Pohnpei	Gardner_Pinnacles	Settled	36
61	Pohnpei	Johnston_Atoll	Not close enough	574
62	Pohnpei	Laysan_Island	Not close enough	91858
63	Pohnpei	Laysan_Island	Settled	48966
64	Pohnpei	Laysan_South_Pinnacle	Not close enough	65135
65	Pohnpei	Laysan_South_Pinnacle	Settled	40159
66	Pohnpei	Laysan_West_pinnacle	Not close enough	23570
67	Pohnpei	Laysan_West_pinnacle	Settled	28064
68	Pohnpei	Lisianski_Island	Not close enough	11872
69	Pohnpei	Lisianski_Island	Settled	2625
70	Pohnpei	Maro_Reef	Not close enough	111499
71	Pohnpei	Maro_Reef	Settled	75951
72	Pohnpei	Pearl_and_Hermes_Atoll	Not close enough	4
73	Pohnpei	Pearl_and_Hermes_Atoll	Settled	2
74	Pohnpei	Pioneer_Bank	Not close enough	5243
75	Pohnpei	Pioneer_Bank	Settled	4109
76	Pohnpei	Raita_Bank	Not close enough	25451
77	Pohnpei	Raita_Bank	Settled	9428
78	Pohnpei	St._Rogatien_Bank	Not close enough	929
79	Pohnpei	St._Rogatien_SE_Bank_3	Not close enough	499
