	release_site	closest_island	Settled	count
0	FrenchFrigateShoal	Hawaii	Not close enough	75876
1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	15624
2	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	414
3	Guam	Gardner_Pinnacles	Not close enough	2140
4	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	297
5	Guam	Necker_Island	Not close enough	151
6	Guam	Nihoa_Island	Not close enough	19362
7	Guam	Pearl_and_Hermes_Atoll	Not close enough	46644
8	Guam	Raita_Bank	Not close enough	479992
9	Johnston	Hawaii	Not close enough	119
10	Johnston	Johnston_Atoll	Not close enough	91381
11	Kiritimati	Johnston_Atoll	Not close enough	89799
12	Majuro	Johnston_Atoll	Not close enough	88322
13	Majuro	Johnston_Atoll	Settled	3178
14	Okinawa	Gardner_Pinnacles	Not close enough	4616
15	Okinawa	Hawaii	Not close enough	822
16	Okinawa	Kauai	Not close enough	79468
17	Okinawa	Maui	Not close enough	11325
18	Okinawa	Molokai	Not close enough	482
19	Okinawa	NW_Main_Hawaiin_Bank_2	Not close enough	38
20	Okinawa	Nihoa_Island	Not close enough	104291
21	Okinawa	Oahu	Not close enough	26397
22	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	62483
23	Okinawa	Raita_Bank	Not close enough	991078
24	Pohnpei	Gardner_Pinnacles	Not close enough	1314
25	Pohnpei	Gardner_Pinnacles	Settled	10
26	Pohnpei	Johnston_Atoll	Not close enough	1721
27	Pohnpei	Laysan_Island	Not close enough	78324
28	Pohnpei	Laysan_Island	Settled	42191
29	Pohnpei	Laysan_South_Pinnacle	Not close enough	113658
30	Pohnpei	Laysan_South_Pinnacle	Settled	34850
31	Pohnpei	Laysan_West_pinnacle	Not close enough	33189
32	Pohnpei	Laysan_West_pinnacle	Settled	22575
33	Pohnpei	Lisianski_Island	Not close enough	10826
34	Pohnpei	Lisianski_Island	Settled	364
35	Pohnpei	Maro_Reef	Not close enough	105413
36	Pohnpei	Maro_Reef	Settled	65847
37	Pohnpei	Pioneer_Bank	Not close enough	5597
38	Pohnpei	Pioneer_Bank	Settled	3353
39	Pohnpei	Raita_Bank	Not close enough	21830
40	Pohnpei	Raita_Bank	Settled	7938
41	Rongelap	Bank_west_of_St._Rogatien_Bank	Not close enough	269
42	Rongelap	Bank_west_of_St._Rogatien_Bank	Settled	94
43	Rongelap	French_Frigate_Shoals	Not close enough	3544
44	Rongelap	French_Frigate_Shoals	Settled	1113
45	Rongelap	Gardner_Pinnacles	Not close enough	1657
46	Rongelap	Gardner_Pinnacles	Settled	429
47	Rongelap	Johnston_Atoll	Not close enough	76678
48	Rongelap	Johnston_Atoll	Settled	1201
49	Rongelap	Kaula	Not close enough	34
50	Rongelap	Maro_Reef	Not close enough	1
51	Rongelap	NW_Main_Hawaiin_Bank_1	Not close enough	177
52	Rongelap	Necker_Island	Not close enough	830
53	Rongelap	Necker_Island	Settled	1
54	Rongelap	Raita_Bank	Not close enough	46
55	Rongelap	Raita_Bank	Settled	57
56	Rongelap	St._Rogatien_Bank	Not close enough	1485
57	Rongelap	St._Rogatien_Bank	Settled	601
58	Rongelap	St._Rogatien_SE_Bank_1	Not close enough	61
59	Rongelap	St._Rogatien_SE_Bank_1	Settled	561
60	Rongelap	St._Rogatien_SE_Bank_2	Not close enough	171
61	Rongelap	St._Rogatien_SE_Bank_2	Settled	652
62	Rongelap	St._Rogatien_SE_Bank_3	Not close enough	1195
63	Rongelap	St._Rogatien_SE_Bank_3	Settled	643
64	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	2155
65	Saipan	Gardner_Pinnacles	Not close enough	45742
66	Saipan	NW_Main_Hawaiin_Bank_2	Not close enough	1557
67	Saipan	Necker_Island	Not close enough	648
68	Saipan	Nihoa_Island	Not close enough	80663
69	Saipan	Raita_Bank	Not close enough	418235
70	Wake	??	Not close enough	108
71	Wake	??	Settled	9
72	Wake	Hawaii	Not close enough	307698
73	Wake	Hawaii	Settled	1
74	Wake	Johnston_Atoll	Not close enough	49117
75	Wake	Kahoolawe	Not close enough	358
76	Wake	Kahoolawe	Settled	7
77	Wake	Kauai	Not close enough	24
78	Wake	Kaula	Not close enough	4287
79	Wake	Lanai	Not close enough	1672
80	Wake	Lanai	Settled	763
81	Wake	Maui	Not close enough	1
82	Wake	Maui	Settled	98
83	Wake	Molokai	Not close enough	5
84	Wake	Molokai	Settled	155
85	Wake	Niihau	Not close enough	3
86	Wake	Oahu	Not close enough	1644
87	Wake	Oahu	Settled	50
