	release_site	closest_island	Settled	count
0	FrenchFrigateShoal	Hawaii	Not close enough	31175
1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	5425
2	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	34
3	Guam	Gardner_Pinnacles	Not close enough	164
4	Guam	Nihoa_Island	Not close enough	20
5	Guam	Pearl_and_Hermes_Atoll	Not close enough	18639
6	Guam	Raita_Bank	Not close enough	200743
7	Johnston	Johnston_Atoll	Not close enough	36600
8	Kiritimati	Johnston_Atoll	Not close enough	35916
9	Majuro	Johnston_Atoll	Not close enough	36600
10	Okinawa	Gardner_Pinnacles	Not close enough	333
11	Okinawa	Kauai	Not close enough	4725
12	Okinawa	Nihoa_Island	Not close enough	25491
13	Okinawa	Oahu	Not close enough	171
14	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	24110
15	Okinawa	Raita_Bank	Not close enough	457570
16	Pohnpei	Gardner_Pinnacles	Not close enough	47
17	Pohnpei	Johnston_Atoll	Not close enough	1592
18	Pohnpei	Laysan_Island	Not close enough	8905
19	Pohnpei	Laysan_Island	Settled	5154
20	Pohnpei	Laysan_South_Pinnacle	Not close enough	115534
21	Pohnpei	Laysan_South_Pinnacle	Settled	5790
22	Pohnpei	Laysan_West_pinnacle	Not close enough	16526
23	Pohnpei	Laysan_West_pinnacle	Settled	1748
24	Pohnpei	Lisianski_Island	Not close enough	7222
25	Pohnpei	Maro_Reef	Not close enough	46088
26	Pohnpei	Maro_Reef	Settled	6582
27	Pohnpei	Pioneer_Bank	Not close enough	1107
28	Pohnpei	Pioneer_Bank	Settled	132
29	Pohnpei	Raita_Bank	Not close enough	1900
30	Pohnpei	Raita_Bank	Settled	1273
31	Rongelap	Johnston_Atoll	Not close enough	36310
32	Rongelap	Johnston_Atoll	Settled	290
33	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	131
34	Saipan	Gardner_Pinnacles	Not close enough	19354
35	Saipan	Necker_Island	Not close enough	50
36	Saipan	Nihoa_Island	Not close enough	758
37	Saipan	Raita_Bank	Not close enough	199307
38	Wake	Hawaii	Not close enough	130874
39	Wake	Johnston_Atoll	Not close enough	15517
40	Wake	Kaula	Not close enough	9
