	Unnamed: 0	release_site	closest_island	Settled	count
0	0	Guam	??	Not close enough	1
1	1	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	8449
2	2	Guam	Gardner_Pinnacles	Not close enough	16265
3	3	Guam	Kauai	Not close enough	1623
4	4	Guam	Kauai	Settled	52
5	5	Guam	Kaula	Not close enough	11
6	6	Guam	Kaula	Settled	23
7	7	Guam	Maui	Not close enough	31
8	8	Guam	Molokai	Not close enough	36
9	9	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	8869
10	10	Guam	NW_Main_Hawaiin_Bank_2	Settled	40
11	11	Guam	Necker_Island	Not close enough	2153
12	12	Guam	Nihoa_Island	Not close enough	278313
13	13	Guam	Niihau	Not close enough	5
14	14	Guam	Niihau	Settled	42
15	15	Guam	Oahu	Not close enough	610
16	16	Guam	Oahu	Settled	19
17	17	Guam	Pearl_and_Hermes_Atoll	Not close enough	183574
18	18	Guam	Raita_Bank	Not close enough	1695884
0	0	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	6759
1	1	Saipan	Gardner_Pinnacles	Not close enough	100464
2	2	Saipan	Kauai	Not close enough	15888
3	3	Saipan	Kauai	Settled	576
4	4	Saipan	Kaula	Not close enough	39
5	5	Saipan	Kaula	Settled	109
6	6	Saipan	Maui	Not close enough	115
7	7	Saipan	Molokai	Not close enough	112
8	8	Saipan	NW_Main_Hawaiin_Bank_2	Not close enough	106232
9	9	Saipan	NW_Main_Hawaiin_Bank_2	Settled	453
10	10	Saipan	Necker_Island	Not close enough	12163
11	11	Saipan	Nihoa_Island	Not close enough	582052
12	12	Saipan	Niihau	Not close enough	429
13	13	Saipan	Niihau	Settled	720
14	14	Saipan	Oahu	Not close enough	2962
15	15	Saipan	Oahu	Settled	65
16	16	Saipan	Raita_Bank	Not close enough	1366862
0	0	Majuro	Bank_west_of_St._Rogatien_Bank	Not close enough	1013
1	1	Majuro	Bank_west_of_St._Rogatien_Bank	Settled	504
2	2	Majuro	French_Frigate_Shoals	Not close enough	245
3	3	Majuro	French_Frigate_Shoals	Settled	55
4	4	Majuro	Gardner_Pinnacles	Not close enough	10183
5	5	Majuro	Gardner_Pinnacles	Settled	416
6	6	Majuro	Johnston_Atoll	Not close enough	296869
7	7	Majuro	Johnston_Atoll	Settled	32396
8	8	Majuro	Laysan_South_Pinnacle	Not close enough	1486
9	9	Majuro	Laysan_South_Pinnacle	Settled	10
10	10	Majuro	Laysan_West_pinnacle	Not close enough	813
