	release_site	closest_island	Settled	count
0	FrenchFrigateShoal	Hawaii	Not close enough	30454
1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	6146
2	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	176
3	Guam	Gardner_Pinnacles	Not close enough	821
4	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	116
5	Guam	Necker_Island	Not close enough	67
6	Guam	Nihoa_Island	Not close enough	7651
7	Guam	Pearl_and_Hermes_Atoll	Not close enough	18635
8	Guam	Raita_Bank	Not close enough	192134
9	Johnston	Hawaii	Not close enough	44
10	Johnston	Johnston_Atoll	Not close enough	36556
11	Kiritimati	Johnston_Atoll	Not close enough	35916
12	Majuro	Johnston_Atoll	Not close enough	35339
13	Majuro	Johnston_Atoll	Settled	1261
14	Okinawa	Gardner_Pinnacles	Not close enough	1819
15	Okinawa	Hawaii	Not close enough	290
16	Okinawa	Kauai	Not close enough	31807
17	Okinawa	Maui	Not close enough	4663
18	Okinawa	Molokai	Not close enough	165
19	Okinawa	NW_Main_Hawaiin_Bank_2	Not close enough	16
20	Okinawa	Nihoa_Island	Not close enough	41845
21	Okinawa	Oahu	Not close enough	10542
22	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	25062
23	Okinawa	Raita_Bank	Not close enough	396191
24	Pohnpei	Gardner_Pinnacles	Not close enough	545
25	Pohnpei	Gardner_Pinnacles	Settled	6
26	Pohnpei	Johnston_Atoll	Not close enough	643
27	Pohnpei	Laysan_Island	Not close enough	31220
28	Pohnpei	Laysan_Island	Settled	16954
29	Pohnpei	Laysan_South_Pinnacle	Not close enough	45748
30	Pohnpei	Laysan_South_Pinnacle	Settled	13987
31	Pohnpei	Laysan_West_pinnacle	Not close enough	13210
32	Pohnpei	Laysan_West_pinnacle	Settled	8876
33	Pohnpei	Lisianski_Island	Not close enough	4397
34	Pohnpei	Lisianski_Island	Settled	146
35	Pohnpei	Maro_Reef	Not close enough	42184
36	Pohnpei	Maro_Reef	Settled	26398
37	Pohnpei	Pioneer_Bank	Not close enough	2175
38	Pohnpei	Pioneer_Bank	Settled	1368
39	Pohnpei	Raita_Bank	Not close enough	8662
40	Pohnpei	Raita_Bank	Settled	3081
41	Rongelap	Bank_west_of_St._Rogatien_Bank	Not close enough	85
42	Rongelap	Bank_west_of_St._Rogatien_Bank	Settled	50
43	Rongelap	French_Frigate_Shoals	Not close enough	1405
44	Rongelap	French_Frigate_Shoals	Settled	449
45	Rongelap	Gardner_Pinnacles	Not close enough	671
46	Rongelap	Gardner_Pinnacles	Settled	171
47	Rongelap	Johnston_Atoll	Not close enough	30659
48	Rongelap	Johnston_Atoll	Settled	463
49	Rongelap	Kaula	Not close enough	8
50	Rongelap	NW_Main_Hawaiin_Bank_1	Not close enough	93
51	Rongelap	Necker_Island	Not close enough	328
52	Rongelap	Necker_Island	Settled	1
53	Rongelap	Raita_Bank	Not close enough	16
54	Rongelap	Raita_Bank	Settled	26
55	Rongelap	St._Rogatien_Bank	Not close enough	581
56	Rongelap	St._Rogatien_Bank	Settled	228
57	Rongelap	St._Rogatien_SE_Bank_1	Not close enough	33
58	Rongelap	St._Rogatien_SE_Bank_1	Settled	212
59	Rongelap	St._Rogatien_SE_Bank_2	Not close enough	73
60	Rongelap	St._Rogatien_SE_Bank_2	Settled	290
61	Rongelap	St._Rogatien_SE_Bank_3	Not close enough	470
62	Rongelap	St._Rogatien_SE_Bank_3	Settled	288
63	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	903
64	Saipan	Gardner_Pinnacles	Not close enough	18171
65	Saipan	NW_Main_Hawaiin_Bank_2	Not close enough	588
66	Saipan	Necker_Island	Not close enough	224
67	Saipan	Nihoa_Island	Not close enough	32441
68	Saipan	Raita_Bank	Not close enough	167273
69	Wake	??	Not close enough	46
70	Wake	??	Settled	6
71	Wake	Hawaii	Not close enough	123032
72	Wake	Johnston_Atoll	Not close enough	19625
73	Wake	Kahoolawe	Not close enough	139
74	Wake	Kahoolawe	Settled	7
75	Wake	Kauai	Not close enough	9
76	Wake	Kaula	Not close enough	1776
77	Wake	Lanai	Not close enough	723
78	Wake	Lanai	Settled	299
79	Wake	Maui	Settled	38
80	Wake	Molokai	Not close enough	4
81	Wake	Molokai	Settled	68
82	Wake	Niihau	Not close enough	2
83	Wake	Oahu	Not close enough	603
84	Wake	Oahu	Settled	23
