	release_site	closest_island	Settled	count
0	FrenchFrigateShoal	Hawaii	Not close enough	77945
1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	13555
2	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	100
3	Guam	Gardner_Pinnacles	Not close enough	413
4	Guam	Nihoa_Island	Not close enough	44
5	Guam	Pearl_and_Hermes_Atoll	Not close enough	46648
6	Guam	Raita_Bank	Not close enough	501795
7	Johnston	Johnston_Atoll	Not close enough	91500
8	Kiritimati	Johnston_Atoll	Not close enough	89799
9	Majuro	Johnston_Atoll	Not close enough	91500
10	Okinawa	Gardner_Pinnacles	Not close enough	805
11	Okinawa	Kauai	Not close enough	11696
12	Okinawa	Nihoa_Island	Not close enough	64078
13	Okinawa	Oahu	Not close enough	400
14	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	60290
15	Okinawa	Raita_Bank	Not close enough	1143731
16	Pohnpei	Gardner_Pinnacles	Not close enough	92
17	Pohnpei	Johnston_Atoll	Not close enough	4053
18	Pohnpei	Laysan_Island	Not close enough	22580
19	Pohnpei	Laysan_Island	Settled	12744
20	Pohnpei	Laysan_South_Pinnacle	Not close enough	288670
21	Pohnpei	Laysan_South_Pinnacle	Settled	14274
22	Pohnpei	Laysan_West_pinnacle	Not close enough	41461
23	Pohnpei	Laysan_West_pinnacle	Settled	4448
24	Pohnpei	Lisianski_Island	Not close enough	17904
25	Pohnpei	Maro_Reef	Not close enough	115241
26	Pohnpei	Maro_Reef	Settled	16372
27	Pohnpei	Pioneer_Bank	Not close enough	2759
28	Pohnpei	Pioneer_Bank	Settled	290
29	Pohnpei	Raita_Bank	Not close enough	4990
30	Pohnpei	Raita_Bank	Settled	3122
31	Rongelap	Johnston_Atoll	Not close enough	90830
32	Rongelap	Johnston_Atoll	Settled	670
33	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	319
34	Saipan	Gardner_Pinnacles	Not close enough	48586
35	Saipan	Necker_Island	Not close enough	91
36	Saipan	Nihoa_Island	Not close enough	1961
37	Saipan	Raita_Bank	Not close enough	498043
38	Wake	Hawaii	Not close enough	327259
39	Wake	Johnston_Atoll	Not close enough	38715
40	Wake	Kaula	Not close enough	26
