	Unnamed: 0	release_site	closest_island	Settled	count
0	0	FrenchFrigateShoal	Hawaii	Not close enough	41584
1	1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	4166
2	2	Guam	??	Not close enough	1
3	3	Guam	??	Settled	7
4	4	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	306
5	5	Guam	Gardner_Pinnacles	Not close enough	193
6	6	Guam	Hawaii	Not close enough	179
7	7	Guam	Hawaii	Settled	162
8	8	Guam	Kahoolawe	Not close enough	1
9	9	Guam	Kahoolawe	Settled	8
10	10	Guam	Kauai	Not close enough	3127
11	11	Guam	Kauai	Settled	354
12	12	Guam	Kaula	Not close enough	153
13	13	Guam	Kaula	Settled	34
14	14	Guam	Lanai	Not close enough	1
15	15	Guam	Lanai	Settled	16
16	16	Guam	Maui	Not close enough	375
17	17	Guam	Maui	Settled	72
18	18	Guam	Molokai	Not close enough	305
19	19	Guam	Molokai	Settled	42
20	20	Guam	NW_Main_Hawaiin_Bank_1	Not close enough	1
21	21	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	10249
22	22	Guam	NW_Main_Hawaiin_Bank_2	Settled	12
23	23	Guam	Necker_Island	Not close enough	162
24	24	Guam	Nihoa_Island	Not close enough	42188
25	25	Guam	Nihoa_Island	Settled	2
26	26	Guam	Niihau	Not close enough	60
27	27	Guam	Niihau	Settled	130
28	28	Guam	Oahu	Not close enough	2566
29	29	Guam	Oahu	Settled	16
30	30	Guam	Pearl_and_Hermes_Atoll	Not close enough	19118
31	31	Guam	Raita_Bank	Not close enough	194660
32	32	Johnston	Hawaii	Not close enough	8515
33	33	Johnston	Johnston_Atoll	Not close enough	37203
34	34	Johnston	Johnston_Atoll	Settled	2
35	35	Johnston	Kaula	Not close enough	30
36	36	Kiritimati	Johnston_Atoll	Not close enough	45750
37	37	Majuro	??	Settled	1
38	38	Majuro	Bank_west_of_St._Rogatien_Bank	Not close enough	1653
39	39	Majuro	Bank_west_of_St._Rogatien_Bank	Settled	1129
40	40	Majuro	French_Frigate_Shoals	Not close enough	4210
41	41	Majuro	French_Frigate_Shoals	Settled	3147
42	42	Majuro	Gardner_Pinnacles	Not close enough	5386
43	43	Majuro	Gardner_Pinnacles	Settled	1555
44	44	Majuro	Hawaii	Not close enough	2
45	45	Majuro	Johnston_Atoll	Not close enough	9864
46	46	Majuro	Johnston_Atoll	Settled	4874
47	47	Majuro	Kauai	Not close enough	2
48	48	Majuro	Kauai	Settled	28
49	49	Majuro	Kaula	Not close enough	100
50	50	Majuro	Kaula	Settled	32
51	51	Majuro	Lanai	Settled	3
52	52	Majuro	Laysan_Island	Not close enough	356
53	53	Majuro	Laysan_Island	Settled	33
54	54	Majuro	Laysan_South_Pinnacle	Not close enough	53
55	55	Majuro	Laysan_South_Pinnacle	Settled	22
56	56	Majuro	Laysan_West_pinnacle	Not close enough	13
57	57	Majuro	Laysan_West_pinnacle	Settled	9
58	58	Majuro	Maro_Reef	Not close enough	1485
59	59	Majuro	Maro_Reef	Settled	1762
60	60	Majuro	Molokai	Settled	8
61	61	Majuro	NW_Main_Hawaiin_Bank_1	Not close enough	71
62	62	Majuro	NW_Main_Hawaiin_Bank_1	Settled	72
63	63	Majuro	NW_Main_Hawaiin_Bank_2	Not close enough	34
64	64	Majuro	NW_Main_Hawaiin_Bank_2	Settled	60
65	65	Majuro	Necker_Island	Not close enough	852
66	66	Majuro	Necker_Island	Settled	184
67	67	Majuro	Nihoa_Island	Not close enough	3
68	68	Majuro	Nihoa_Island	Settled	23
69	69	Majuro	Niihau	Not close enough	3
70	70	Majuro	Niihau	Settled	139
71	71	Majuro	Pioneer_Bank	Not close enough	5
72	72	Majuro	Raita_Bank	Not close enough	2838
73	73	Majuro	Raita_Bank	Settled	907
74	74	Majuro	St._Rogatien_Bank	Not close enough	190
75	75	Majuro	St._Rogatien_Bank	Settled	1405
76	76	Majuro	St._Rogatien_SE_Bank_1	Not close enough	16
77	77	Majuro	St._Rogatien_SE_Bank_1	Settled	914
78	78	Majuro	St._Rogatien_SE_Bank_2	Not close enough	43
79	79	Majuro	St._Rogatien_SE_Bank_2	Settled	881
80	80	Majuro	St._Rogatien_SE_Bank_3	Not close enough	526
81	81	Majuro	St._Rogatien_SE_Bank_3	Settled	857
82	82	Okinawa	Gardner_Pinnacles	Not close enough	2028
83	83	Okinawa	Hawaii	Not close enough	40222
84	84	Okinawa	Hawaii	Settled	12
85	85	Okinawa	Kauai	Not close enough	92377
86	86	Okinawa	Maui	Not close enough	57202
87	87	Okinawa	Maui	Settled	3
88	88	Okinawa	Molokai	Not close enough	3829
89	89	Okinawa	Molokai	Settled	2
90	90	Okinawa	NW_Main_Hawaiin_Bank_2	Not close enough	1301
91	91	Okinawa	Nihoa_Island	Not close enough	89240
92	92	Okinawa	Oahu	Not close enough	69840
93	93	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	17567
94	94	Okinawa	Raita_Bank	Not close enough	266877
95	95	Pohnpei	Bank_west_of_St._Rogatien_Bank	Not close enough	37
96	96	Pohnpei	Bank_west_of_St._Rogatien_Bank	Settled	10
97	97	Pohnpei	French_Frigate_Shoals	Not close enough	10
98	98	Pohnpei	Gardner_Pinnacles	Not close enough	307
99	99	Pohnpei	Gardner_Pinnacles	Settled	35
100	100	Pohnpei	Johnston_Atoll	Not close enough	153
101	101	Pohnpei	Johnston_Atoll	Settled	9
102	102	Pohnpei	Kauai	Settled	5
