	Unnamed: 0	release_site	closest_island	Settled	count
0	0	Guam	??	Not close enough	10
1	1	Guam	??	Settled	54
2	2	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	8505
3	3	Guam	Gardner_Pinnacles	Not close enough	27321
4	4	Guam	Hawaii	Not close enough	2530
5	5	Guam	Hawaii	Settled	6229
6	6	Guam	Kahoolawe	Not close enough	5
7	7	Guam	Kahoolawe	Settled	87
8	8	Guam	Kauai	Not close enough	52475
9	9	Guam	Kauai	Settled	11411
10	10	Guam	Kaula	Not close enough	2224
11	11	Guam	Kaula	Settled	933
12	12	Guam	Kure_Atoll	Not close enough	11
13	13	Guam	Lanai	Not close enough	3
14	14	Guam	Lanai	Settled	163
15	15	Guam	Maui	Not close enough	15187
16	16	Guam	Maui	Settled	1092
17	17	Guam	Midway_Islands	Not close enough	1
18	18	Guam	Molokai	Not close enough	11794
19	19	Guam	Molokai	Settled	375
20	20	Guam	NW_Main_Hawaiin_Bank_1	Not close enough	5
21	21	Guam	NW_Main_Hawaiin_Bank_1	Settled	1
22	22	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	85373
23	23	Guam	NW_Main_Hawaiin_Bank_2	Settled	340
24	24	Guam	Necker_Island	Not close enough	1660
25	25	Guam	Nihoa_Island	Not close enough	431301
26	26	Guam	Nihoa_Island	Settled	8
27	27	Guam	Niihau	Not close enough	1187
28	28	Guam	Niihau	Settled	7516
29	29	Guam	Oahu	Not close enough	36236
30	30	Guam	Oahu	Settled	3000
31	31	Guam	Pearl_and_Hermes_Atoll	Not close enough	159390
32	32	Guam	Raita_Bank	Not close enough	1329573
0	0	Saipan	??	Not close enough	10
1	1	Saipan	??	Settled	56
2	2	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	278
3	3	Saipan	Gardner_Pinnacles	Not close enough	21719
4	4	Saipan	Hawaii	Not close enough	2268
5	5	Saipan	Hawaii	Settled	1831
6	6	Saipan	Kahoolawe	Not close enough	6
7	7	Saipan	Kahoolawe	Settled	108
8	8	Saipan	Kauai	Not close enough	39770
9	9	Saipan	Kauai	Settled	4041
10	10	Saipan	Kaula	Not close enough	1397
11	11	Saipan	Kaula	Settled	499
12	12	Saipan	Lanai	Not close enough	3
13	13	Saipan	Lanai	Settled	288
14	14	Saipan	Maui	Not close enough	5762
15	15	Saipan	Maui	Settled	733
