	Unnamed: 0	release_site	closest_island	Settled	count
0	0	Okinawa	??	Settled	1
1	1	Okinawa	Gardner_Pinnacles	Not close enough	6035
2	2	Okinawa	Hawaii	Not close enough	120612
3	3	Okinawa	Hawaii	Settled	49
4	4	Okinawa	Kahoolawe	Not close enough	1
5	5	Okinawa	Kahoolawe	Settled	1
6	6	Okinawa	Kauai	Not close enough	277198
7	7	Okinawa	Maui	Not close enough	172235
8	8	Okinawa	Maui	Settled	2
9	9	Okinawa	Molokai	Not close enough	11452
10	10	Okinawa	Molokai	Settled	4
11	11	Okinawa	NW_Main_Hawaiin_Bank_2	Not close enough	3935
12	12	Okinawa	Nihoa_Island	Not close enough	267637
13	13	Okinawa	Oahu	Not close enough	209160
14	14	Okinawa	Oahu	Settled	1
15	15	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	53000
16	16	Okinawa	Raita_Bank	Not close enough	800177
0	0	Okinawa	Bank_west_of_St._Rogatien_Bank	Not close enough	21
1	1	Okinawa	Gardner_Pinnacles	Not close enough	18225
2	2	Okinawa	Hawaii	Not close enough	240076
3	3	Okinawa	Hawaii	Settled	8
4	4	Okinawa	Kauai	Not close enough	106362
5	5	Okinawa	Maui	Not close enough	203300
6	6	Okinawa	Molokai	Not close enough	10246
7	7	Okinawa	NW_Main_Hawaiin_Bank_2	Not close enough	6130
8	8	Okinawa	Nihoa_Island	Not close enough	147466
9	9	Okinawa	Oahu	Not close enough	90422
10	10	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	70696
11	11	Okinawa	Raita_Bank	Not close enough	1028548
0	0	Guam	??	Not close enough	1
1	1	Guam	??	Settled	10
2	2	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	875
3	3	Guam	Gardner_Pinnacles	Not close enough	559
4	4	Guam	Hawaii	Not close enough	508
5	5	Guam	Hawaii	Settled	460
6	6	Guam	Kahoolawe	Not close enough	3
7	7	Guam	Kahoolawe	Settled	18
8	8	Guam	Kauai	Not close enough	9552
9	9	Guam	Kauai	Settled	1014
10	10	Guam	Kaula	Not close enough	449
11	11	Guam	Kaula	Settled	114
12	12	Guam	Lanai	Settled	42
13	13	Guam	Maui	Not close enough	1104
14	14	Guam	Maui	Settled	204
15	15	Guam	Molokai	Not close enough	972
16	16	Guam	Molokai	Settled	146
17	17	Guam	NW_Main_Hawaiin_Bank_1	Not close enough	16
18	18	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	31162
19	19	Guam	NW_Main_Hawaiin_Bank_2	Settled	36
20	20	Guam	Necker_Island	Not close enough	485
21	21	Guam	Nihoa_Island	Not close enough	126185
22	22	Guam	Nihoa_Island	Settled	7
23	23	Guam	Niihau	Not close enough	172
24	24	Guam	Niihau	Settled	412
25	25	Guam	Oahu	Not close enough	7419
26	26	Guam	Oahu	Settled	64
27	27	Guam	Pearl_and_Hermes_Atoll	Not close enough	57294
28	28	Guam	Raita_Bank	Not close enough	584217
29	29	Majuro	??	Settled	1
30	30	Majuro	Bank_west_of_St._Rogatien_Bank	Not close enough	4808
31	31	Majuro	Bank_west_of_St._Rogatien_Bank	Settled	3228
32	32	Majuro	French_Frigate_Shoals	Not close enough	12665
33	33	Majuro	French_Frigate_Shoals	Settled	9510
34	34	Majuro	Gardner_Pinnacles	Not close enough	16346
35	35	Majuro	Gardner_Pinnacles	Settled	4864
36	36	Majuro	Hawaii	Not close enough	9
37	37	Majuro	Johnston_Atoll	Not close enough	29073
38	38	Majuro	Johnston_Atoll	Settled	14665
39	39	Majuro	Kahoolawe	Not close enough	1
40	40	Majuro	Kauai	Not close enough	21
41	41	Majuro	Kauai	Settled	72
42	42	Majuro	Kaula	Not close enough	306
43	43	Majuro	Kaula	Settled	63
44	44	Majuro	Lanai	Not close enough	3
45	45	Majuro	Lanai	Settled	8
46	46	Majuro	Laysan_Island	Not close enough	1012
47	47	Majuro	Laysan_Island	Settled	109
48	48	Majuro	Laysan_South_Pinnacle	Not close enough	157
49	49	Majuro	Laysan_South_Pinnacle	Settled	96
50	50	Majuro	Laysan_West_pinnacle	Not close enough	27
51	51	Majuro	Laysan_West_pinnacle	Settled	12
52	52	Majuro	Maro_Reef	Not close enough	4488
53	53	Majuro	Maro_Reef	Settled	5238
54	54	Majuro	Molokai	Settled	16
55	55	Majuro	NW_Main_Hawaiin_Bank_1	Not close enough	225
56	56	Majuro	NW_Main_Hawaiin_Bank_1	Settled	216
57	57	Majuro	NW_Main_Hawaiin_Bank_2	Not close enough	115
58	58	Majuro	NW_Main_Hawaiin_Bank_2	Settled	203
59	59	Majuro	Necker_Island	Not close enough	2588
60	60	Majuro	Necker_Island	Settled	520
61	61	Majuro	Nihoa_Island	Not close enough	12
62	62	Majuro	Nihoa_Island	Settled	52
63	63	Majuro	Niihau	Not close enough	27
64	64	Majuro	Niihau	Settled	422
65	65	Majuro	Pioneer_Bank	Not close enough	15
66	66	Majuro	Raita_Bank	Not close enough	8545
67	67	Majuro	Raita_Bank	Settled	2715
68	68	Majuro	St._Rogatien_Bank	Not close enough	547
69	69	Majuro	St._Rogatien_Bank	Settled	4171
70	70	Majuro	St._Rogatien_SE_Bank_1	Not close enough	44
71	71	Majuro	St._Rogatien_SE_Bank_1	Settled	2849
72	72	Majuro	St._Rogatien_SE_Bank_2	Not close enough	77
73	73	Majuro	St._Rogatien_SE_Bank_2	Settled	2826
74	74	Majuro	St._Rogatien_SE_Bank_3	Not close enough	1672
75	75	Majuro	St._Rogatien_SE_Bank_3	Settled	2611
76	76	Rongelap	??	Not close enough	8
77	77	Rongelap	??	Settled	50
78	78	Rongelap	Bank_west_of_St._Rogatien_Bank	Not close enough	2759
79	79	Rongelap	Bank_west_of_St._Rogatien_Bank	Settled	2100
80	80	Rongelap	French_Frigate_Shoals	Not close enough	15951
81	81	Rongelap	French_Frigate_Shoals	Settled	11394
82	82	Rongelap	Gardner_Pinnacles	Not close enough	5452
83	83	Rongelap	Gardner_Pinnacles	Settled	1486
84	84	Rongelap	Hawaii	Not close enough	707
85	85	Rongelap	Hawaii	Settled	175
86	86	Rongelap	Johnston_Atoll	Not close enough	8906
87	87	Rongelap	Johnston_Atoll	Settled	626
