	Unnamed: 0	release_site	closest_island	Settled	count
0	0	Okinawa	Gardner_Pinnacles	Not close enough	7814
1	1	Okinawa	Hawaii	Not close enough	38883
2	2	Okinawa	Kauai	Not close enough	334428
3	3	Okinawa	Maui	Not close enough	126688
4	4	Okinawa	Molokai	Not close enough	6226
5	5	Okinawa	NW_Main_Hawaiin_Bank_2	Not close enough	475
6	6	Okinawa	Nihoa_Island	Not close enough	390606
7	7	Okinawa	Oahu	Not close enough	158940
8	8	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	146862
9	9	Okinawa	Raita_Bank	Not close enough	2632078
0	0	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	6294
1	1	Guam	Gardner_Pinnacles	Not close enough	12087
2	2	Guam	Kauai	Not close enough	1145
3	3	Guam	Kauai	Settled	43
4	4	Guam	Kaula	Not close enough	5
5	5	Guam	Kaula	Settled	9
6	6	Guam	Maui	Not close enough	29
7	7	Guam	Molokai	Not close enough	29
8	8	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	6627
9	9	Guam	NW_Main_Hawaiin_Bank_2	Settled	35
10	10	Guam	Necker_Island	Not close enough	1638
11	11	Guam	Nihoa_Island	Not close enough	208972
12	12	Guam	Niihau	Not close enough	10
13	13	Guam	Niihau	Settled	26
14	14	Guam	Oahu	Not close enough	445
15	15	Guam	Oahu	Settled	13
16	16	Guam	Pearl_and_Hermes_Atoll	Not close enough	137861
17	17	Guam	Raita_Bank	Not close enough	1271732
18	18	Majuro	Bank_west_of_St._Rogatien_Bank	Not close enough	790
19	19	Majuro	Bank_west_of_St._Rogatien_Bank	Settled	387
20	20	Majuro	French_Frigate_Shoals	Not close enough	202
21	21	Majuro	French_Frigate_Shoals	Settled	41
22	22	Majuro	Gardner_Pinnacles	Not close enough	7581
23	23	Majuro	Gardner_Pinnacles	Settled	306
24	24	Majuro	Johnston_Atoll	Not close enough	222512
25	25	Majuro	Johnston_Atoll	Settled	24623
26	26	Majuro	Laysan_South_Pinnacle	Not close enough	1076
27	27	Majuro	Laysan_South_Pinnacle	Settled	8
28	28	Majuro	Laysan_West_pinnacle	Not close enough	610
29	29	Majuro	Laysan_West_pinnacle	Settled	18
30	30	Majuro	Maro_Reef	Not close enough	4577
31	31	Majuro	Necker_Island	Not close enough	13
32	32	Majuro	Necker_Island	Settled	7
33	33	Majuro	Raita_Bank	Not close enough	7769
34	34	Majuro	Raita_Bank	Settled	965
35	35	Majuro	St._Rogatien_Bank	Not close enough	2250
36	36	Majuro	St._Rogatien_Bank	Settled	285
37	37	Majuro	St._Rogatien_SE_Bank_1	Not close enough	11
38	38	Majuro	St._Rogatien_SE_Bank_1	Settled	162
39	39	Majuro	St._Rogatien_SE_Bank_2	Not close enough	22
40	40	Majuro	St._Rogatien_SE_Bank_2	Settled	42
41	41	Majuro	St._Rogatien_SE_Bank_3	Not close enough	226
42	42	Majuro	St._Rogatien_SE_Bank_3	Settled	17
43	43	Rongelap	??	Settled	6
44	44	Rongelap	Bank_west_of_St._Rogatien_Bank	Not close enough	3450
45	45	Rongelap	Bank_west_of_St._Rogatien_Bank	Settled	3096
46	46	Rongelap	French_Frigate_Shoals	Not close enough	22876
47	47	Rongelap	French_Frigate_Shoals	Settled	11422
48	48	Rongelap	Gardner_Pinnacles	Not close enough	9564
49	49	Rongelap	Gardner_Pinnacles	Settled	2582
50	50	Rongelap	Hawaii	Not close enough	66
51	51	Rongelap	Johnston_Atoll	Not close enough	143837
52	52	Rongelap	Johnston_Atoll	Settled	3087
53	53	Rongelap	Kahoolawe	Not close enough	68
54	54	Rongelap	Kaula	Not close enough	10803
55	55	Rongelap	Lanai	Not close enough	14
56	56	Rongelap	Lanai	Settled	16
57	57	Rongelap	Maro_Reef	Not close enough	151
58	58	Rongelap	Maro_Reef	Settled	10
59	59	Rongelap	Molokai	Not close enough	3
60	60	Rongelap	Molokai	Settled	51
61	61	Rongelap	NW_Main_Hawaiin_Bank_1	Not close enough	8022
62	62	Rongelap	NW_Main_Hawaiin_Bank_1	Settled	72
63	63	Rongelap	NW_Main_Hawaiin_Bank_2	Not close enough	274
64	64	Rongelap	NW_Main_Hawaiin_Bank_2	Settled	35
65	65	Rongelap	Necker_Island	Not close enough	21474
66	66	Rongelap	Necker_Island	Settled	1392
67	67	Rongelap	Nihoa_Island	Not close enough	173
68	68	Rongelap	Nihoa_Island	Settled	23
69	69	Rongelap	Raita_Bank	Not close enough	1016
70	70	Rongelap	Raita_Bank	Settled	525
71	71	Rongelap	St._Rogatien_Bank	Not close enough	1221
