	release_site	closest_island	Settled	count
0	FrenchFrigateShoal	Hawaii	Not close enough	29886
1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	6714
2	Guam	??	Not close enough	1
3	Guam	??	Settled	4
4	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	843
5	Guam	Gardner_Pinnacles	Not close enough	2762
6	Guam	Hawaii	Not close enough	244
7	Guam	Hawaii	Settled	613
8	Guam	Kahoolawe	Settled	8
9	Guam	Kauai	Not close enough	5293
10	Guam	Kauai	Settled	1109
11	Guam	Kaula	Not close enough	231
12	Guam	Kaula	Settled	96
13	Guam	Kure_Atoll	Not close enough	2
14	Guam	Lanai	Settled	18
15	Guam	Maui	Not close enough	1432
16	Guam	Maui	Settled	145
17	Guam	Molokai	Not close enough	1179
18	Guam	Molokai	Settled	26
19	Guam	NW_Main_Hawaiin_Bank_1	Not close enough	4
20	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	8523
21	Guam	NW_Main_Hawaiin_Bank_2	Settled	35
22	Guam	Necker_Island	Not close enough	153
23	Guam	Nihoa_Island	Not close enough	43052
24	Guam	Nihoa_Island	Settled	1
25	Guam	Niihau	Not close enough	114
26	Guam	Niihau	Settled	737
27	Guam	Oahu	Not close enough	3672
28	Guam	Oahu	Settled	296
29	Guam	Pearl_and_Hermes_Atoll	Not close enough	15935
30	Guam	Raita_Bank	Not close enough	133072
31	Johnston	Hawaii	Not close enough	6175
32	Johnston	Johnston_Atoll	Not close enough	30415
33	Johnston	Kaula	Not close enough	10
34	Kiritimati	Johnston_Atoll	Not close enough	35923
35	Kiritimati	Johnston_Atoll	Settled	3
36	Majuro	Bank_west_of_St._Rogatien_Bank	Not close enough	1160
37	Majuro	Bank_west_of_St._Rogatien_Bank	Settled	840
38	Majuro	French_Frigate_Shoals	Not close enough	1829
39	Majuro	French_Frigate_Shoals	Settled	1743
40	Majuro	Gardner_Pinnacles	Not close enough	5605
41	Majuro	Gardner_Pinnacles	Settled	1256
42	Majuro	Hawaii	Not close enough	6
43	Majuro	Hawaii	Settled	4
44	Majuro	Johnston_Atoll	Not close enough	7619
45	Majuro	Johnston_Atoll	Settled	3302
46	Majuro	Kahoolawe	Settled	1
47	Majuro	Kauai	Not close enough	5
48	Majuro	Kauai	Settled	32
49	Majuro	Kaula	Not close enough	289
50	Majuro	Kaula	Settled	30
51	Majuro	Lanai	Settled	1
52	Majuro	Laysan_Island	Not close enough	247
53	Majuro	Laysan_Island	Settled	41
54	Majuro	Laysan_South_Pinnacle	Not close enough	25
55	Majuro	Laysan_South_Pinnacle	Settled	13
56	Majuro	Laysan_West_pinnacle	Not close enough	92
57	Majuro	Laysan_West_pinnacle	Settled	64
58	Majuro	Maro_Reef	Not close enough	932
59	Majuro	Maro_Reef	Settled	904
60	Majuro	Maui	Settled	3
61	Majuro	Molokai	Settled	11
62	Majuro	NW_Main_Hawaiin_Bank_1	Not close enough	214
63	Majuro	NW_Main_Hawaiin_Bank_1	Settled	92
64	Majuro	NW_Main_Hawaiin_Bank_2	Not close enough	34
65	Majuro	NW_Main_Hawaiin_Bank_2	Settled	55
