	release_site	closest_island	Settled	count
0	FrenchFrigateShoal	Hawaii	Not close enough	31146
1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	5454
2	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	36
3	Guam	Gardner_Pinnacles	Not close enough	157
4	Guam	Nihoa_Island	Not close enough	23
5	Guam	Pearl_and_Hermes_Atoll	Not close enough	18632
6	Guam	Raita_Bank	Not close enough	200752
7	Johnston	Johnston_Atoll	Not close enough	36600
8	Kiritimati	Johnston_Atoll	Not close enough	35926
9	Majuro	Johnston_Atoll	Not close enough	36600
10	Okinawa	Gardner_Pinnacles	Not close enough	331
11	Okinawa	Kauai	Not close enough	4760
12	Okinawa	Nihoa_Island	Not close enough	25470
13	Okinawa	Oahu	Not close enough	158
14	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	23987
15	Okinawa	Raita_Bank	Not close enough	457694
16	Pohnpei	Gardner_Pinnacles	Not close enough	37
17	Pohnpei	Johnston_Atoll	Not close enough	1593
18	Pohnpei	Laysan_Island	Not close enough	9115
19	Pohnpei	Laysan_Island	Settled	5089
20	Pohnpei	Laysan_South_Pinnacle	Not close enough	115376
21	Pohnpei	Laysan_South_Pinnacle	Settled	5794
22	Pohnpei	Laysan_West_pinnacle	Not close enough	16663
23	Pohnpei	Laysan_West_pinnacle	Settled	1703
24	Pohnpei	Lisianski_Island	Not close enough	7170
25	Pohnpei	Maro_Reef	Not close enough	46011
26	Pohnpei	Maro_Reef	Settled	6547
27	Pohnpei	Pioneer_Bank	Not close enough	1132
28	Pohnpei	Pioneer_Bank	Settled	114
29	Pohnpei	Raita_Bank	Not close enough	2002
30	Pohnpei	Raita_Bank	Settled	1254
31	Rongelap	Johnston_Atoll	Not close enough	36316
32	Rongelap	Johnston_Atoll	Settled	284
33	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	123
34	Saipan	Gardner_Pinnacles	Not close enough	19457
35	Saipan	Necker_Island	Not close enough	42
36	Saipan	Nihoa_Island	Not close enough	795
37	Saipan	Raita_Bank	Not close enough	199183
38	Wake	Hawaii	Not close enough	130884
39	Wake	Johnston_Atoll	Not close enough	15502
40	Wake	Kaula	Not close enough	14
