	Unnamed: 0	release_site	closest_island	Settled	count
0	0	Guam	??	Not close enough	13
1	1	Guam	??	Settled	31
2	2	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	4195
3	3	Guam	Gardner_Pinnacles	Not close enough	13466
4	4	Guam	Hawaii	Not close enough	1254
5	5	Guam	Hawaii	Settled	3077
6	6	Guam	Kahoolawe	Settled	40
7	7	Guam	Kauai	Not close enough	26158
8	8	Guam	Kauai	Settled	5747
9	9	Guam	Kaula	Not close enough	1140
10	10	Guam	Kaula	Settled	464
11	11	Guam	Kure_Atoll	Not close enough	3
12	12	Guam	Lanai	Not close enough	2
13	13	Guam	Lanai	Settled	81
14	14	Guam	Maui	Not close enough	7498
15	15	Guam	Maui	Settled	528
16	16	Guam	Molokai	Not close enough	6034
17	17	Guam	Molokai	Settled	195
18	18	Guam	NW_Main_Hawaiin_Bank_1	Not close enough	4
19	19	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	42850
20	20	Guam	NW_Main_Hawaiin_Bank_2	Settled	134
21	21	Guam	Necker_Island	Not close enough	862
22	22	Guam	Nihoa_Island	Not close enough	215419
23	23	Guam	Nihoa_Island	Settled	5
24	24	Guam	Niihau	Not close enough	578
25	25	Guam	Niihau	Settled	3789
26	26	Guam	Oahu	Not close enough	17976
27	27	Guam	Oahu	Settled	1558
28	28	Guam	Pearl_and_Hermes_Atoll	Not close enough	79817
29	29	Guam	Raita_Bank	Not close enough	665082
0	0	Saipan	??	Not close enough	34
1	1	Saipan	??	Settled	125
2	2	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	1611
3	3	Saipan	Gardner_Pinnacles	Not close enough	25659
4	4	Saipan	Hawaii	Not close enough	5918
5	5	Saipan	Hawaii	Settled	17934
6	6	Saipan	Kahoolawe	Not close enough	1
7	7	Saipan	Kahoolawe	Settled	189
8	8	Saipan	Kauai	Not close enough	65689
9	9	Saipan	Kauai	Settled	34413
10	10	Saipan	Kaula	Not close enough	6642
11	11	Saipan	Kaula	Settled	2565
12	12	Saipan	Lanai	Not close enough	4
13	13	Saipan	Lanai	Settled	335
14	14	Saipan	Maui	Not close enough	14036
15	15	Saipan	Maui	Settled	2418
16	16	Saipan	Molokai	Not close enough	11378
17	17	Saipan	Molokai	Settled	695
18	18	Saipan	NW_Main_Hawaiin_Bank_1	Not close enough	12
19	19	Saipan	NW_Main_Hawaiin_Bank_1	Settled	26
20	20	Saipan	NW_Main_Hawaiin_Bank_2	Not close enough	121746
21	21	Saipan	NW_Main_Hawaiin_Bank_2	Settled	1180
22	22	Saipan	Necker_Island	Not close enough	1201
23	23	Saipan	Nihoa_Island	Not close enough	253100
24	24	Saipan	Nihoa_Island	Settled	42
25	25	Saipan	Niihau	Not close enough	2698
26	26	Saipan	Niihau	Settled	11863
27	27	Saipan	Oahu	Not close enough	34481
28	28	Saipan	Oahu	Settled	9845
29	29	Saipan	Pearl_and_Hermes_Atoll	Not close enough	17
30	30	Saipan	Raita_Bank	Not close enough	472143
0	0	Majuro	??	Not close enough	1
1	1	Majuro	??	Settled	2
2	2	Majuro	Bank_west_of_St._Rogatien_Bank	Not close enough	5704
3	3	Majuro	Bank_west_of_St._Rogatien_Bank	Settled	4432
4	4	Majuro	French_Frigate_Shoals	Not close enough	9513
5	5	Majuro	French_Frigate_Shoals	Settled	8682
6	6	Majuro	Gardner_Pinnacles	Not close enough	28414
7	7	Majuro	Gardner_Pinnacles	Settled	5958
8	8	Majuro	Hawaii	Not close enough	33
9	9	Majuro	Hawaii	Settled	10
10	10	Majuro	Johnston_Atoll	Not close enough	37657
11	11	Majuro	Johnston_Atoll	Settled	16473
12	12	Majuro	Kahoolawe	Not close enough	2
13	13	Majuro	Kahoolawe	Settled	3
14	14	Majuro	Kauai	Not close enough	29
15	15	Majuro	Kauai	Settled	100
16	16	Majuro	Kaula	Not close enough	1335
17	17	Majuro	Kaula	Settled	165
18	18	Majuro	Lanai	Not close enough	1
19	19	Majuro	Lanai	Settled	20
20	20	Majuro	Laysan_Island	Not close enough	1339
21	21	Majuro	Laysan_Island	Settled	198
