	Unnamed: 0	release_site	closest_island	Settled	count
0	0	Okinawa	Gardner_Pinnacles	Not close enough	2406
1	1	Okinawa	Kauai	Not close enough	35117
2	2	Okinawa	Nihoa_Island	Not close enough	192107
3	3	Okinawa	Oahu	Not close enough	1252
4	4	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	180535
5	5	Okinawa	Raita_Bank	Not close enough	3431583
0	0	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	237
1	1	Guam	Gardner_Pinnacles	Not close enough	1182
2	2	Guam	Necker_Island	Not close enough	1
3	3	Guam	Nihoa_Island	Not close enough	182
4	4	Guam	Pearl_and_Hermes_Atoll	Not close enough	140162
5	5	Guam	Raita_Bank	Not close enough	1505236
6	6	Majuro	Johnston_Atoll	Not close enough	274500
7	7	Rongelap	Johnston_Atoll	Not close enough	272438
8	8	Rongelap	Johnston_Atoll	Settled	2062
9	9	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	992
10	10	Saipan	Gardner_Pinnacles	Not close enough	145688
11	11	Saipan	Necker_Island	Not close enough	286
12	12	Saipan	Nihoa_Island	Not close enough	5913
13	13	Saipan	Raita_Bank	Not close enough	1494121
0	0	FrenchFrigateShoal	Hawaii	Not close enough	233604
1	1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	40896
2	2	Johnston	Johnston_Atoll	Not close enough	274500
3	3	Kiritimati	Johnston_Atoll	Not close enough	269398
4	4	Pohnpei	Gardner_Pinnacles	Not close enough	333
5	5	Pohnpei	Johnston_Atoll	Not close enough	12082
6	6	Pohnpei	Laysan_Island	Not close enough	67373
7	7	Pohnpei	Laysan_Island	Settled	38374
8	8	Pohnpei	Laysan_South_Pinnacle	Not close enough	865508
9	9	Pohnpei	Laysan_South_Pinnacle	Settled	43131
10	10	Pohnpei	Laysan_West_pinnacle	Not close enough	124388
11	11	Pohnpei	Laysan_West_pinnacle	Settled	13257
12	12	Pohnpei	Lisianski_Island	Not close enough	53951
13	13	Pohnpei	Maro_Reef	Not close enough	346083
14	14	Pohnpei	Maro_Reef	Settled	48972
15	15	Pohnpei	Pioneer_Bank	Not close enough	8428
16	16	Pohnpei	Pioneer_Bank	Settled	862
17	17	Pohnpei	Raita_Bank	Not close enough	14746
18	18	Pohnpei	Raita_Bank	Settled	9512
19	19	Wake	Hawaii	Not close enough	981840
20	20	Wake	Johnston_Atoll	Not close enough	116094
21	21	Wake	Kaula	Not close enough	66
