	release_site	closest_island	Settled	count
0	FrenchFrigateShoal	Hawaii	Not close enough	29928
1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	6672
2	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	825
3	Guam	Gardner_Pinnacles	Not close enough	1544
4	Guam	Kauai	Not close enough	152
5	Guam	Kauai	Settled	6
6	Guam	Kaula	Settled	2
7	Guam	Maui	Not close enough	2
8	Guam	Molokai	Not close enough	5
9	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	874
10	Guam	NW_Main_Hawaiin_Bank_2	Settled	3
11	Guam	Necker_Island	Not close enough	227
12	Guam	Nihoa_Island	Not close enough	28088
13	Guam	Niihau	Settled	6
14	Guam	Oahu	Not close enough	55
15	Guam	Oahu	Settled	2
16	Guam	Pearl_and_Hermes_Atoll	Not close enough	18325
17	Guam	Raita_Bank	Not close enough	169484
18	Johnston	Hawaii	Not close enough	717
19	Johnston	Johnston_Atoll	Not close enough	35883
20	Kiritimati	Johnston_Atoll	Not close enough	35916
21	Majuro	Bank_west_of_St._Rogatien_Bank	Not close enough	105
22	Majuro	Bank_west_of_St._Rogatien_Bank	Settled	59
23	Majuro	French_Frigate_Shoals	Not close enough	29
24	Majuro	French_Frigate_Shoals	Settled	8
25	Majuro	Gardner_Pinnacles	Not close enough	1084
26	Majuro	Gardner_Pinnacles	Settled	34
27	Majuro	Johnston_Atoll	Not close enough	29768
28	Majuro	Johnston_Atoll	Settled	3118
29	Majuro	Laysan_South_Pinnacle	Not close enough	151
30	Majuro	Laysan_West_pinnacle	Not close enough	77
31	Majuro	Laysan_West_pinnacle	Settled	3
32	Majuro	Maro_Reef	Not close enough	620
33	Majuro	Necker_Island	Not close enough	1
34	Majuro	Necker_Island	Settled	1
35	Majuro	Raita_Bank	Not close enough	1028
36	Majuro	Raita_Bank	Settled	127
37	Majuro	St._Rogatien_Bank	Not close enough	280
38	Majuro	St._Rogatien_Bank	Settled	41
39	Majuro	St._Rogatien_SE_Bank_1	Settled	23
40	Majuro	St._Rogatien_SE_Bank_2	Not close enough	4
41	Majuro	St._Rogatien_SE_Bank_2	Settled	6
42	Majuro	St._Rogatien_SE_Bank_3	Not close enough	33
43	Okinawa	Gardner_Pinnacles	Not close enough	1017
44	Okinawa	Hawaii	Not close enough	5292
45	Okinawa	Kauai	Not close enough	44568
46	Okinawa	Maui	Not close enough	16924
47	Okinawa	Molokai	Not close enough	794
48	Okinawa	NW_Main_Hawaiin_Bank_2	Not close enough	57
