	release_site	closest_island	Settled	count
112	Pohnpei	Lisianski_Island	Not close enough	3975
113	Pohnpei	Lisianski_Island	Settled	1378
114	Pohnpei	Maro_Reef	Not close enough	45421
115	Pohnpei	Maro_Reef	Settled	33341
116	Pohnpei	Maui	Settled	2
117	Pohnpei	NW_Main_Hawaiin_Bank_2	Not close enough	28
118	Pohnpei	NW_Main_Hawaiin_Bank_2	Settled	36
119	Pohnpei	Niihau	Not close enough	8
120	Pohnpei	Niihau	Settled	45
121	Pohnpei	Oahu	Settled	2
122	Pohnpei	Pearl_and_Hermes_Atoll	Not close enough	47
123	Pohnpei	Pearl_and_Hermes_Atoll	Settled	58
124	Pohnpei	Pioneer_Bank	Not close enough	1903
125	Pohnpei	Pioneer_Bank	Settled	2133
126	Pohnpei	Raita_Bank	Not close enough	11316
127	Pohnpei	Raita_Bank	Settled	4055
128	Pohnpei	St._Rogatien_Bank	Not close enough	42
129	Pohnpei	St._Rogatien_Bank	Settled	24
130	Pohnpei	St._Rogatien_SE_Bank_1	Settled	28
131	Pohnpei	St._Rogatien_SE_Bank_2	Not close enough	1
132	Pohnpei	St._Rogatien_SE_Bank_2	Settled	15
133	Pohnpei	St._Rogatien_SE_Bank_3	Not close enough	13
134	Pohnpei	St._Rogatien_SE_Bank_3	Settled	10
135	Rongelap	??	Not close enough	5
136	Rongelap	??	Settled	8
137	Rongelap	Bank_west_of_St._Rogatien_Bank	Not close enough	534
138	Rongelap	Bank_west_of_St._Rogatien_Bank	Settled	529
139	Rongelap	French_Frigate_Shoals	Not close enough	2989
140	Rongelap	French_Frigate_Shoals	Settled	2653
141	Rongelap	Gardner_Pinnacles	Not close enough	1490
142	Rongelap	Gardner_Pinnacles	Settled	350
143	Rongelap	Hawaii	Not close enough	229
144	Rongelap	Hawaii	Settled	85
145	Rongelap	Johnston_Atoll	Not close enough	5472
146	Rongelap	Johnston_Atoll	Settled	362
147	Rongelap	Kahoolawe	Not close enough	16
148	Rongelap	Kahoolawe	Settled	30
149	Rongelap	Kauai	Not close enough	143
150	Rongelap	Kauai	Settled	900
151	Rongelap	Kaula	Not close enough	3026
152	Rongelap	Kaula	Settled	202
153	Rongelap	Lanai	Not close enough	14
154	Rongelap	Lanai	Settled	55
155	Rongelap	Laysan_Island	Not close enough	14
156	Rongelap	Maro_Reef	Not close enough	61
157	Rongelap	Maro_Reef	Settled	10
158	Rongelap	Maui	Not close enough	3
159	Rongelap	Maui	Settled	87
160	Rongelap	Molokai	Not close enough	3
161	Rongelap	Molokai	Settled	173
162	Rongelap	NW_Main_Hawaiin_Bank_1	Not close enough	3498
163	Rongelap	NW_Main_Hawaiin_Bank_1	Settled	869
164	Rongelap	NW_Main_Hawaiin_Bank_2	Not close enough	452
165	Rongelap	NW_Main_Hawaiin_Bank_2	Settled	553
166	Rongelap	Necker_Island	Not close enough	4005
167	Rongelap	Necker_Island	Settled	630
168	Rongelap	Nihoa_Island	Not close enough	268
169	Rongelap	Nihoa_Island	Settled	315
170	Rongelap	Niihau	Not close enough	182
171	Rongelap	Niihau	Settled	804
172	Rongelap	Oahu	Not close enough	27
173	Rongelap	Oahu	Settled	304
174	Rongelap	Raita_Bank	Not close enough	275
175	Rongelap	Raita_Bank	Settled	121
176	Rongelap	St._Rogatien_Bank	Not close enough	44
177	Rongelap	St._Rogatien_Bank	Settled	1073
178	Rongelap	St._Rogatien_SE_Bank_1	Not close enough	24
179	Rongelap	St._Rogatien_SE_Bank_1	Settled	1123
180	Rongelap	St._Rogatien_SE_Bank_2	Not close enough	47
181	Rongelap	St._Rogatien_SE_Bank_2	Settled	1005
182	Rongelap	St._Rogatien_SE_Bank_3	Not close enough	578
183	Rongelap	St._Rogatien_SE_Bank_3	Settled	960
184	Saipan	??	Not close enough	5
185	Saipan	??	Settled	20
186	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	296
187	Saipan	Gardner_Pinnacles	Not close enough	5073
188	Saipan	Hawaii	Not close enough	1166
189	Saipan	Hawaii	Settled	3668
190	Saipan	Kahoolawe	Not close enough	1
191	Saipan	Kahoolawe	Settled	51
192	Saipan	Kauai	Not close enough	13284
193	Saipan	Kauai	Settled	6834
194	Saipan	Kaula	Not close enough	1301
195	Saipan	Kaula	Settled	528
196	Saipan	Lanai	Not close enough	5
197	Saipan	Lanai	Settled	77
198	Saipan	Maui	Not close enough	2894
199	Saipan	Maui	Settled	503
200	Saipan	Molokai	Not close enough	2204
201	Saipan	Molokai	Settled	122
202	Saipan	NW_Main_Hawaiin_Bank_1	Not close enough	2
203	Saipan	NW_Main_Hawaiin_Bank_1	Settled	1
204	Saipan	NW_Main_Hawaiin_Bank_2	Not close enough	24210
205	Saipan	NW_Main_Hawaiin_Bank_2	Settled	240
206	Saipan	Necker_Island	Not close enough	231
207	Saipan	Nihoa_Island	Not close enough	50826
208	Saipan	Nihoa_Island	Settled	9
209	Saipan	Niihau	Not close enough	589
210	Saipan	Niihau	Settled	2328
211	Saipan	Oahu	Not close enough	7038
212	Saipan	Oahu	Settled	2021
213	Saipan	Pearl_and_Hermes_Atoll	Not close enough	5
214	Saipan	Raita_Bank	Not close enough	94068
215	Wake	??	Not close enough	125
216	Wake	??	Settled	184
217	Wake	French_Frigate_Shoals	Not close enough	32
218	Wake	French_Frigate_Shoals	Settled	13
219	Wake	Hawaii	Not close enough	110400
220	Wake	Hawaii	Settled	1801
221	Wake	Johnston_Atoll	Not close enough	9996
222	Wake	Kahoolawe	Not close enough	661
223	Wake	Kahoolawe	Settled	325
224	Wake	Kauai	Not close enough	818
225	Wake	Kauai	Settled	1305
226	Wake	Kaula	Not close enough	5647
227	Wake	Kaula	Settled	172
228	Wake	Lanai	Not close enough	645
229	Wake	Lanai	Settled	986
230	Wake	Maui	Not close enough	33
231	Wake	Maui	Settled	1357
232	Wake	Molokai	Not close enough	67
233	Wake	Molokai	Settled	1859
234	Wake	NW_Main_Hawaiin_Bank_1	Not close enough	897
235	Wake	NW_Main_Hawaiin_Bank_1	Settled	152
236	Wake	NW_Main_Hawaiin_Bank_2	Not close enough	273
237	Wake	NW_Main_Hawaiin_Bank_2	Settled	246
238	Wake	Necker_Island	Not close enough	213
239	Wake	Nihoa_Island	Not close enough	114
240	Wake	Nihoa_Island	Settled	48
241	Wake	Niihau	Not close enough	98
242	Wake	Niihau	Settled	346
243	Wake	Oahu	Not close enough	3163
244	Wake	Oahu	Settled	4414
245	Wake	St._Rogatien_Bank	Not close enough	2
246	Wake	St._Rogatien_SE_Bank_2	Settled	2
247	Wake	St._Rogatien_SE_Bank_3	Not close enough	6
