,comparison,Connection_kh0,Particles_kh0,Connection_kh10,Particles_kh10,Connection_kh50,Particles_kh50,Connection_kh50_Run2,Particles_kh50_Run2
1,Pohnpei / Gardner_Pinnacles,Not,Not,Not,Not,Settled,1,Settled,1
5,Pohnpei / Lisianski_Island,Not,Not,Not,Not,Not,Not,Settled,1
7,Pohnpei / Pioneer_Bank,Not,Not,Settled,93,Settled,118,Settled,126
