comparison,Connection_100_90,Particles_100_90,Connection_100repeat_90,Particles_100repeat_90,Connection_250_90,Particles_250_90,Connection_500_90,Particles_500_90,Connection_750_90,Particles_750_90,Connection_1000_90,Particles_1000_90
Majuro / Laysan_South_Pinnacle,Not,Not,Not,Not,Not,Not,Settled,5,Settled,8,Settled,10
Majuro / Necker_Island,Not,Not,Settled,1,Settled,5,Settled,8,Settled,7,Settled,15
Majuro / St._Rogatien_SE_Bank_3,Settled,2,Not,Not,Settled,5,Settled,13,Settled,17,Settled,21
Pohnpei / Pearl_and_Hermes_Atoll,Not,Not,Not,Not,Settled,2,Settled,4,Settled,1,Settled,4
Rongelap / ??,Not,Not,Not,Not,Settled,1,Settled,3,Settled,6,Settled,3
Rongelap / Nihoa_Island,Not,Not,Settled,6,Settled,5,Settled,12,Settled,23,Settled,23
Saipan / Molokai,Not,Not,Not,Not,Settled,1,Not,Not,Settled,1,Not,Not
Wake / Nihoa_Island,Not,Not,Settled,2,Settled,4,Settled,8,Settled,5,Settled,14
Wake / Nihoa_Island,Not,Not,Settled,2,Settled,4,Settled,8,Settled,5,Settled,14
