,comparison,Connection_kh0,Particles_kh0,Connection_kh10,Particles_kh10,Connection_kh50,Particles_kh50,Connection_kh50_Run2,Particles_kh50_Run2
2,Pohnpei / Gardner_Pinnacles,Not,Not,Settled,6,Settled,23,Settled,26
6,Pohnpei / Lisianski_Island,Not,Not,Settled,127,Settled,175,Settled,169
10,Rongelap / Bank_west_of_St._Rogatien_Bank,Not,Not,Settled,79,Settled,102,Settled,127
14,Rongelap / Necker_Island,Not,Not,Not,Not,Not,Not,Settled,3
20,Wake / ??,Not,Not,Settled,6,Settled,6,Settled,7
21,Wake / Hawaii,Not,Not,Not,Not,Settled,4,Settled,4
22,Wake / Kahoolawe,Not,Not,Settled,7,Settled,21,Settled,15
23,Wake / Kauai,Not,Not,Not,Not,Not,Not,Settled,1
27,Wake / Oahu,Not,Not,Settled,48,Settled,49,Settled,50
