"","comparison","Connection_daily","Particles_daily","Connection_4days","Particles_4days","Connection_7days","Particles_7days"
"8","Rongelap / French_Frigate_Shoals","Settled",4,"Not","Not","Settled","1"
"9","Rongelap / Gardner_Pinnacles","Settled",4,"Not","Not","Settled","1"
"12","Rongelap / St._Rogatien_Bank","Settled",3,"Settled","1","Not","Not"
"13","Rongelap / St._Rogatien_SE_Bank_1","Settled",2,"Settled","1","Not","Not"
"14","Rongelap / St._Rogatien_SE_Bank_2","Settled",5,"Settled","1","Not","Not"
"17","Wake / Maui","Settled",1,"Not","Not","Not","Not"
"18","Wake / Molokai","Settled",2,"Not","Not","Settled","1"
