,comparison,Connection_kh0,Particles_kh0,Connection_kh10,Particles_kh10,Connection_kh50,Particles_kh50,Connection_kh50_Run2,Particles_kh50_Run2
3,Guam / Kahoolawe,Not,Not,Settled,7,Settled,11,Settled,9
5,Guam / Kaula,Not,Not,Settled,95,Settled,148,Settled,123
6,Guam / Lanai,Not,Not,Settled,25,Settled,19,Settled,26
8,Guam / Molokai,Not,Not,Settled,49,Settled,85,Settled,71
9,Guam / Nihoa_Island,Not,Not,Settled,2,Settled,4,Settled,1
11,Guam / NW_Main_Hawaiin_Bank_1,Not,Not,Not,Not,Settled,1,Settled,2
12,Guam / NW_Main_Hawaiin_Bank_2,Not,Not,Settled,34,Settled,68,Settled,65
14,Johnston / Johnston_Atoll,Not,Not,Not,Not,Settled,3,Settled,7
15,Kiritimati / Johnston_Atoll,Not,Not,Settled,6,Settled,6,Settled,7
16,Majuro / ??,Not,Not,Settled,1,Not,Not,Settled,1
20,Majuro / Hawaii,Not,Not,Settled,1,Settled,3,Settled,1
22,Majuro / Kahoolawe,Not,Not,Not,Not,Settled,1,Settled,1
23,Majuro / Kauai,Not,Not,Settled,24,Settled,36,Settled,28
24,Majuro / Kaula,Not,Not,Settled,41,Settled,38,Settled,28
25,Majuro / Lanai,Not,Not,Settled,6,Settled,8,Settled,3
27,Majuro / Laysan_South_Pinnacle,Not,Not,Settled,18,Settled,23,Settled,22
28,Majuro / Laysan_West_pinnacle,Not,Not,Settled,57,Settled,55,Settled,71
29,Majuro / Lisianski_Island,Not,Not,Not,Not,Settled,1,Not,Not
31,Majuro / Maui,Not,Not,Settled,1,Settled,2,Settled,7
32,Majuro / Molokai,Not,Not,Settled,13,Settled,12,Settled,11
38,Majuro / Oahu,Not,Not,Settled,4,Settled,8,Settled,6
39,Majuro / Pioneer_Bank,Not,Not,Not,Not,Settled,7,Settled,5
45,Okinawa / Hawaii,Not,Not,Settled,6,Settled,9,Settled,10
46,Okinawa / Maui,Not,Not,Not,Not,Not,Not,Settled,1
47,Okinawa / Molokai,Not,Not,Not,Not,Settled,1,Settled,1
48,Okinawa / Oahu,Not,Not,Not,Not,Settled,1,Not,Not
49,Pohnpei / Bank_west_of_St._Rogatien_Bank,Not,Not,Settled,54,Settled,48,Settled,67
50,Pohnpei / French_Frigate_Shoals,Not,Not,Settled,44,Settled,59,Settled,47
52,Pohnpei / Hawaii,Not,Not,Not,Not,Settled,4,Settled,2
55,Pohnpei / Kaula,Not,Not,Settled,14,Settled,9,Settled,24
61,Pohnpei / Maui,Not,Not,Settled,1,Not,Not,Not,Not
62,Pohnpei / Niihau,Not,Not,Settled,25,Settled,43,Settled,55
63,Pohnpei / NW_Main_Hawaiin_Bank_2,Not,Not,Settled,26,Settled,36,Settled,45
64,Pohnpei / Oahu,Not,Not,Settled,4,Settled,4,Settled,5
65,Pohnpei / Pearl_and_Hermes_Atoll,Not,Not,Settled,50,Settled,69,Settled,63
68,Pohnpei / St._Rogatien_Bank,Not,Not,Settled,27,Settled,41,Settled,43
70,Pohnpei / St._Rogatien_SE_Bank_2,Not,Not,Settled,22,Settled,25,Settled,29
71,Pohnpei / St._Rogatien_SE_Bank_3,Not,Not,Settled,8,Settled,23,Settled,27
72,Rongelap / ??,Not,Not,Settled,18,Settled,16,Settled,14
82,Rongelap / Maro_Reef,Not,Not,Settled,9,Settled,38,Settled,34
104,Saipan / Nihoa_Island,Not,Not,Settled,5,Settled,10,Settled,12
106,Saipan / NW_Main_Hawaiin_Bank_1,Not,Not,Settled,10,Settled,11,Settled,4
110,Wake / Bank_west_of_St._Rogatien_Bank,Not,Not,Not,Not,Settled,1,Settled,2
111,Wake / French_Frigate_Shoals,Not,Not,Settled,25,Settled,24,Settled,28
112,Wake / Gardner_Pinnacles,Not,Not,Settled,1,Settled,1,Settled,1
116,Wake / Kaula,Not,Not,Settled,129,Settled,172,Settled,171
120,Wake / Necker_Island,Not,Not,Not,Not,Settled,1,Settled,1
126,Wake / St._Rogatien_Bank,Not,Not,Not,Not,Settled,2,Not,Not
127,Wake / St._Rogatien_SE_Bank_2,Not,Not,Settled,2,Settled,5,Settled,3
128,Wake / St._Rogatien_SE_Bank_3,Not,Not,Settled,1,Settled,5,Settled,2
