"","comparison","Connection_daily","Particles_daily","Connection_4days","Particles_4days","Connection_7days","Particles_7days"
"1","Guam / Kaula","Settled",1,"Not","Not","Settled","1"
"3","Majuro / Raita_Bank","Settled",1,"Not","Not","Not","Not"
"11","Rongelap / Bank_west_of_St._Rogatien_Bank","Settled",4,"Settled","1","Not","Not"
"13","Rongelap / Gardner_Pinnacles","Settled",6,"Not","Not","Settled","1"
"15","Rongelap / Lanai","Settled",1,"Settled","1","Not","Not"
"16","Rongelap / Necker_Island","Settled",3,"Not","Not","Not","Not"
"18","Rongelap / St._Rogatien_Bank","Settled",6,"Settled","2","Not","Not"
"20","Rongelap / St._Rogatien_SE_Bank_2","Settled",8,"Settled","1","Not","Not"
"22","Saipan / Kauai","Settled",1,"Not","Not","Not","Not"
"23","Saipan / Oahu","Settled",1,"Not","Not","Not","Not"
"24","Wake / ??","Settled",1,"Not","Not","Settled","1"
"25","Wake / Hawaii","Settled",1,"Not","Not","Not","Not"
"26","Wake / Kauai","Settled",1,"Not","Not","Not","Not"
"29","Wake / Molokai","Settled",2,"Settled","2","Not","Not"
